x,y
330,225
310.8655439,270.9220119
288.3883476,313.3883476
245.9220119,335.8655439
200,355
154.0779881,335.8655439
111.6116524,313.3883476
89.1344561,270.9220119
70,225
89.1344561,179.0779881
111.6116524,136.6116524
154.0779881,114.1344561
200,85
245.9220119,114.1344561
288.3883476,136.6116524
310.8655439,179.0779881
