Date,WindSpeed
39783,15.85714286
39784,15.9047619
39785,16.18181818
39786,14.13043478
39787,14.13636364
39788,13.18181818
39789,15.08695652
39790,12.85714286
39791,11.22727273
39792,18.28571429
39793,15.63636364
39794,13.57142857
39795,19.7826087
39796,22.40909091
39798,11.90909091
39799,10.13636364
39800,10.81818182
39801,16.2173913
39802,18.04545455
39803,15
39804,17
39805,16.30434783
39806,12.65217391
39807,10.23809524
39808,11.60869565
39809,11.17391304
39810,15.13043478
39811,15.86956522
39812,17.26086957
39813,15.56521739
39814,18.11111111
39815,16.75555556
39816,14.81395349
39817,13.88636364
39818,12.68888889
39819,13.46666667
39820,14.20930233
39821,19.34090909
39822,20.17777778
39823,14.54545455
39824,13.22222222
39825,12.84444444
39826,16.35555556
39827,14.86666667
39828,18.27272727
39829,18.04545455
39830,19.6
39831,12.22222222
39832,14.26666667
39833,12.86363636
39834,12.51111111
39835,21.81818182
39836,12.90909091
39837,17.15555556
39838,13.31111111
39839,12.52272727
39840,13.15555556
39841,14.20454545
39842,14.95454545
39843,13.25
39844,13.28888889
39845,14.46666667
39846,12.68888889
39847,13.38636364
39848,13.44186047
39849,11.57142857
39850,12.37777778
39851,16.66666667
39852,15.72727273
39853,19.8372093
39854,17.20454545
39855,19.75555556
39856,18.77777778
39857,19.48888889
39858,18.06666667
39859,14.13636364
39860,17.61363636
39861,15.15909091
39862,13.66666667
39863,11.22222222
39864,11.75555556
39865,12.34090909
39866,15.42222222
39867,12.33333333
39868,13.79545455
39869,12.04444444
39870,15.22727273
39871,15.22222222
39872,13.11111111
39873,12.69767442
39874,14.82222222
39875,17.53333333
39876,18.70454545
39877,18.38636364
39878,10.17777778
39879,13.33333333
39880,14.77777778
39881,14.19565217
39882,13.77777778
39883,15.19565217
39884,11.57777778
39885,9.543478261
39886,14.97777778
39887,15.95652174
39888,12.46666667
39889,12.08888889
39890,11.32608696
39891,10.7173913
39892,9.720930233
39893,11.48837209
39894,11.2826087
39895,10.70454545
39896,10.26666667
39897,10.04347826
39898,11.73333333
39899,11.84782609
39900,12.53333333
39901,12.73913043
39902,15.42222222
39903,16.62222222
39904,14.91111111
39905,14.54347826
39906,13.5
39907,12.13043478
39908,14.17391304
39909,17.63043478
39910,17.44444444
39911,12.77272727
39912,9.52173913
39913,10.69565217
39914,9.644444444
39915,10.8
39916,10.89130435
39917,11.86666667
39918,19.55555556
39919,13.13043478
39920,12.20454545
39921,12.29545455
39922,16.54347826
39923,15.06666667
39924,15.02173913
39925,15.34782609
39926,16.32608696
39927,14.86956522
39928,16.56521739
39929,21.37777778
39930,14.23913043
39931,12.97826087
39932,9.608695652
39933,12.28888889
39934,11.89130435
39935,10.36956522
39936,9.913043478
39937,10.89130435
39938,11
39939,10.04347826
39940,11.93478261
39941,12.34782609
39942,11.65217391
39943,12.32608696
39944,9.956521739
39945,9.869565217
39946,10.19565217
39947,15
39948,16.65217391
39949,19.58695652
39950,9.688888889
39951,9.543478261
39952,10.84444444
39953,13.69565217
39954,18.63636364
39955,18.70454545
39956,21.80952381
